ka_utf;kname;meaning;kstroke;onyomi_ja;onyomi;kunyomi_ja;kunyomi;grade;examples;dick;dicn;rad_utf;rad_order;rad_name_ja;rad_name;rad_meaning;rad_stroke;rad_position_ja;rad_position
銭;zeni;money;14;セン;sen;ぜに;zeni;5;"[ [ ""銭湯（せんとう）"", ""bath-house, public bath"" ], [ ""金銭（きんせん）"", ""money, cash"" ], [ ""賽銭（さいせん）"", ""monetary offering"" ], [ ""釣り銭（つりせん）"", ""change [n.]"" ], [ ""守銭奴（しゅせんど）"", ""miser"" ], [ ""無銭飲食（むせんいんしょく）"", ""leaving without paying for food"" ], [ ""銭（ぜに）"", ""money"" ], [ ""小銭（こぜに）"", ""coins, small change"" ], [ ""身銭（みぜに）"", ""one's own money"" ] ]";1136;4851;;206;かねへん;kanehen;metal, gold, mineral;8;へん;hen
祖;so(sen);ancestor;9;ソ;so;;n/a;5;"[ [ ""祖先（そせん）"", ""ancestor"" ], [ ""祖国（そこく）"", ""fatherland, native country"" ], [ ""祖父母（そふぼ）"", ""grandparents"" ], [ ""元祖（がんそ）"", ""originator, founder, pioneer"" ], [ ""教祖（きょうそ）"", ""founder of a religious sect, guru"" ], [ ""先祖（せんぞ）"", ""ancestor"" ] ]";617;3243;⺭;121;しめすへん;shimesuhen;altar, festival, religious service;4;へん;hen
測;soku-haka(ru);measure, conjecture;12;ソク;soku;はか、はかる;haka, hakaru;5;"[ [ ""測候所（そっこうじょ）"", ""weather measurement station"" ], [ ""憶測（おくそく）"", ""guess, speculation, supposition"" ], [ ""不測（ふそく）"", ""unexpected [n.]"" ], [ ""測量する（そくりょうする）"", ""measure (mass)  [v.t.]"" ], [ ""測定する（そくていする）"", ""measure [v.t.]"" ], [ ""観測する（かんそくする）"", ""observe"" ], [ ""推測する（すいそくする）"", ""guess, conjecture"" ], [ ""予測する（よそくする）"", ""predict, estimate"" ], [ ""目測する（もくそくする）"", ""measure by eye"" ], [ ""測る（はかる）"", ""measure (mass) [v.t.]"" ] ]";444;509;⺡;76;さんずい;sanzui;water;3;へん;hen
八;8;eight;2;ハチ;hachi;や、よう、やっつ;ya, you, yattsu;1;"[ [ ""八月（はちがつ）"", ""August"" ], [ ""八時間（はちじかん）"", ""8 hours"" ], [ ""尺八（しゃくはち）"", ""bamboo flute"" ], [ ""八回（はっかい）"", ""8 times"" ], [ ""八分（はっぷん）"", ""8 minutes"" ], [ ""八百（はっぴゃく）"", ""800"" ], [ ""八つ（やっつ）"", ""8 (objects)"" ], [ ""八百屋（やおや）"", ""greengrocer"" ], [ ""八重桜（やえざくら）"", ""double-flowered cherry-tree"" ], [ ""八日（ようか）"", ""8 days, 8th of the month"" ] ]";1859;577;⼋;15;はち;hachi;eight;2;;
属;(sho)zoku;belong to;12;ゾク;zoku;;n/a;5;"[ [ ""属性（ぞくせい）"", ""attribute [n.]"" ], [ ""金属（きんぞく）"", ""metal"" ], [ ""専属（せんぞく）"", ""exclusive, specialized [n.]"" ], [ ""猫属（ねこぞく）"", ""the cat genus"" ], [ ""属する（ぞくする）"", ""belong to, be affiliated with"" ], [ ""配属する（はいぞくする）"", ""assign"" ], [ ""従属する（じゅうぞくする）"", ""be subordinated to"" ], [ ""付属する（ふぞくする）"", ""be attached, be associated"" ], [ ""所属する（しょぞくする）"", ""belong to, be affiliated with"" ] ]";2009;1400;⼫;53;しかばね;shikabane;corpse, awning;3;たれ;tare
損;son(gai);loss, damage, harm;13;ソン;son;そこ、そこねる、そこなう;soko, sokoneru, sokonau;5;"[ [ ""損（そん）"", ""loss"" ], [ ""損失（そんしつ）"", ""loss"" ], [ ""損得（そんとく）"", ""loss and gain"" ], [ ""損害（そんがい）"", ""damage, injury, loss"" ], [ ""損傷（そんしょう）"", ""damage, injury"" ], [ ""大損（おおぞん）"", ""heavy loss"" ], [ ""損害賠償（そんがいばいしょう）"", ""restitution, compensation"" ], [ ""破損する（はそんする）"", ""damage, be damaged"" ], [ ""損ねる（そこねる）"", ""harm, hurt, injure [v.t.]"" ], [ ""損なう（そこなう）"", ""harm, damage [v.t.]"" ], [ ""見損なう（みそこなう）"", ""misjudge, miss, fail to see"" ] ]";468;1979;⺘;77;てへん;tehen;hand;3;へん;hen
退;shirizo(ku);retreat,drive away, repel;9;タイ;tai;しりぞ、しりぞく、しりぞける;shirizo, shirizoku, shirizokeru;5;"[ [ ""退屈な（たいくつな）"", ""tedious, bored"" ], [ ""退廃的な（たいはいてきな）"", ""degenerate, decadent"" ], [ ""退学する（たいがくする）"", ""drop out of school"" ], [ ""退職する（たいしょくする）"", ""retire"" ], [ ""退去する（たいきょする）"", ""depart, leave, recede"" ], [ ""退場する（たいじょうする）"", ""leave, exit"" ], [ ""退院する（たいいんする）"", ""leave hospital"" ], [ ""辞退する（じたいする）"", ""decline an offer"" ], [ ""衰退する（すいたいする）"", ""decay, retreat"" ], [ ""撤退する（てったいする）"", ""evacuate, withdraw, repeal"" ], [ ""退ける（しりぞける）"", ""repel, drive away, reject [v.t.]"" ], [ ""退く（しりぞく）"", ""retreat, recede, withdraw [v.i.]"" ] ]";1969;4684;⻌;72;しんにょう;shinnyou;road, walk, to advance;3;にょう;nyou
銅;dou(zou);copper;14;ドウ;dou;;n/a;5;"[ [ ""銅（どう）"", ""copper"" ], [ ""銅山（どうざん）"", ""copper mine"" ], [ ""銅貨（どうか）"", ""copper coin"" ], [ ""銅像（どうぞう）"", ""bronze statue"" ], [ ""青銅（せいどう）"", ""bronze"" ] ]";1132;4853;;206;かねへん;kanehen;metal, gold, mineral;8;へん;hen
徳;(dou)toku;virtue;14;トク;toku;;n/a;5;"[ [ ""徳（とく）"", ""virtue, goodness"" ], [ ""道徳（どうとく）"", ""morals"" ], [ ""人徳（じんとく）"", ""natural virtue, personal virtue"" ], [ ""不徳（ふとく）"", ""immorality, depravity"" ], [ ""美徳（びとく）"", ""virtue"" ], [ ""悪徳商法（あくとくしょうほう）"", ""corrupt business"" ] ]";486;1633;⼻;70;ぎょうにんべん;gyouninben;step, stride, street, to go;3;へん;hen
犯;han(nin);offense, commit (a crime), violate, defy;5;ハン;han;おか、おかす;oka, okasu;5;"[ [ ""犯罪（はんざい）"", ""crime"" ], [ ""犯行（はんこう）"", ""criminal act"" ], [ ""犯人（はんにん）"", ""offender, criminal"" ], [ ""防犯（ぼうはん）"", ""crime prevention"" ], [ ""初犯（しょはん）"", ""first offender"" ], [ ""共犯（きょうはん）"", ""accomplice"" ], [ ""戦犯（せんぱん）"", ""war criminal"" ], [ ""殺人犯（さつじんはん）"", ""murderer"" ], [ ""知能犯（ちのうはん）"", ""intellectual criminal"" ], [ ""犯す（おかす）"", ""commit, perpetrate, violate"" ] ]";146;2869;⺨;78;けものへん;kemonohen;beast;3;へん;hen
版;han(ga);printing plate, publishing, edition;8;ハン;han;;n/a;5;"[ [ ""版（はん）"", ""plate, printing, edition"" ], [ ""版画（はんが）"", ""art print"" ], [ ""版元（はんもと）"", ""publisher"" ], [ ""版権（はんけん）"", ""copyright"" ], [ ""重版（じゅうはん）"", ""additional printing"" ], [ ""凸版（とっぱん）"", ""letterpress, relief printing"" ], [ ""活版（かっぱん）"", ""printing, typography"" ], [ ""出版社（しゅっぱんしゃ）"", ""publisher"" ], [ ""初版本（しょはんぼん）"", ""first edition"" ], [ ""決定版（けっていばん）"", ""definitive edition"" ], [ ""改訂版（かいていばん）"", ""revised edition"" ], [ ""出版する（しゅっぱんする）"", ""publish"" ] ]";585;2843;;115;かたへん;katahen;split wood;4;へん;hen
俵;tawara;straw sack;10;ヒョウ;hyou;たわら;tawara;5;"[ [ ""土俵（どひょう）"", ""sumo ring"" ], [ ""一俵（いっぴょう）"", ""one straw bag"" ], [ ""俵（たわら）"", ""bale, sack"" ], [ ""米俵（こめだわら）"", ""straw rice bag"" ], [ ""炭俵（すみだわら）"", ""sack for charcoal"" ] ]";85;467;⺅;11;にんべん;ninben;person ;2;へん;hen
婦;(fuu)fu;adult woman;11;フ;fu;;n/a;5;"[ [ ""婦人（ふじん）"", ""woman, female"" ], [ ""婦長（ふちょう）"", ""head nurse"" ], [ ""婦警（ふけい）"", ""policewoman"" ], [ ""主婦（しゅふ）"", ""housewife"" ], [ ""夫婦（ふうふ）"", ""married couple"" ], [ ""娼婦（しょうふ）"", ""prostitute"" ], [ ""新婦（しんぷ）"", ""bride"" ], [ ""看護婦（かんごふ）"", ""nurse"" ], [ ""掃除婦（そうじふ）"", ""cleaning lady"" ] ]";343;1237;;45;おんなへん;onnahen;woman;3;へん;hen
富;tomi;rich, wealth;12;フ、フウ;fu, fuu;と、とむ、とみ;to, tomu, tomi;5;"[ [ ""富豪（ふごう）"", ""wealthy person, millionaire"" ], [ ""富士山（ふじさん）"", ""Mt. Fuji"" ], [ ""富国強兵（ふこくきょうへい）"", ""national prosperity & defense"" ], [ ""富裕な（ふゆうな）"", ""wealthy, rich, opulent"" ], [ ""豊富な（ほうふな）"", ""abundant, rich, plentiful"" ], [ ""富貴な（ふうきな）"", ""rich and honored"" ], [ ""富む（とむ）"", ""rich with"" ], [ ""富（とみ）"", ""wealth, fortune"" ] ]";1489;1321;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
九;9;nine;2;キュウ、ク;kyuu, ku;ここの、ここのつ;kokono, kokonotsu;1;"[ [ ""九州（きゅうしゅう）"", ""Kyuushuu"" ], [ ""九回（きゅうかい）"", ""9 times"" ], [ ""九年（きゅうねん）"", ""9 years"" ], [ ""九月（くがつ）"", ""September"" ], [ ""九時（くじ）"", ""9 o'clock"" ], [ ""十九日（じゅうくにち）"", ""19 days, 19th of the month"" ], [ ""九日（ここのか）"", ""9 days, 9th of the month"" ], [ ""九つ（ここのつ）"", ""9 (objects) "" ] ]";2112;146;⼄;6;おつ;otsu;the second ;1;;
武;bu(ryoku);military;8;ブ、ム;bu, mu;;n/a;5;"[ [ ""武士（ぶし）"", ""warrior, samurai"" ], [ ""武器（ぶき）"", ""weapon, arms"" ], [ ""武力（ぶりょく）"", ""military power"" ], [ ""武術（ぶじゅつ）"", ""martial arts"" ], [ ""武道（ぶどう）"", ""martial arts, Bushido"" ], [ ""武装する（ぶそうする）"", ""be armed"" ], [ ""武者震い（むしゃぶるい）"", ""shake with excitement [n.]"" ], [ ""影武者（かげむしゃ）"", ""secret power broker"" ] ]";2046;51;⽌;100;とめる;tomeru;to stop;4;;
複;fuku(suu);compound, double, multiple;14;フク;fuku;;n/a;5;"[ [ ""複数（ふくすう）"", ""plural, multiple"" ], [ ""複利（ふくり）"", ""compound interest"" ], [ ""複写機（ふくしゃき）"", ""photocopying machine"" ], [ ""複雑な（ふくざつな）"", ""complex, complicated"" ], [ ""複製する（ふくせいする）"", ""reproduce, duplicate, reprint"" ], [ ""複合する（ふくごうする）"", ""combine"" ], [ ""重複する（ちょうふくする）"", ""be repeated, overlap [v.i.]"" ] ]";827;4255;⻂;151;ころもへん;koromohen;clothing;5;へん;hen
墓;haka;grave, tomb;13;ボ;bo;はか;haka;5;"[ [ ""墓碑（ぼひ）"", ""gravestone, tombstone"" ], [ ""墓地（ぼち）"", ""cemetery, graveyard"" ], [ ""墓穴（ぼけつ）"", ""grave (hole in ground)"" ], [ ""墓標（ぼひょう）"", ""grave-marker, gravestone"" ], [ ""墓（はか）"", ""tomb"" ], [ ""墓参り（はかまいり）"", ""visit to a grave"" ] ]";1505;4027;⼟;37;つち;tsuchi;earth;3;;
報;(yo)hou;inform, require, news, report, reward;12;ホウ;hou;むく、むくい、むくいる、むくう;muku, mukui, mukuiru, mukuu;5;"[ [ ""報道（ほうどう）"", ""information, report"" ], [ ""報酬（ほうしゅう）"", ""remuneration, recompense"" ], [ ""情報（じょうほう）"", ""information, news"" ], [ ""警報（けいほう）"", ""alarm, warning"" ], [ ""速報（そくほう）"", ""news flash, quick report"" ], [ ""天気予報（てんきよほう）"", ""weather forecast"" ], [ ""報告する（ほうこくする）"", ""report, inform"" ], [ ""報復する（ほうふくする）"", ""retaliate, take revenge"" ], [ ""通報する（つうほうする）"", ""report [v.t.]"" ], [ ""報じる（ほうじる）"", ""inform, report"" ], [ ""報う（むくう）"", ""reward, recompense [v.i., v.t.]"" ], [ ""報いる（むくいる）"", ""reward, recompense [v.i., v.t.]"" ] ]";1115;1114;⼟;37;つち;tsuchi;earth;3;;
防;fuse(gu);prevent, protect from;7;ボウ;bou;ふせ、ふせぐ;fuse, fusegu;5;"[ [ ""防水（ぼうすい）"", ""waterproofing"" ], [ ""防音（ぼうおん）"", ""soundproofing"" ], [ ""防虫剤（ぼうちゅうざい）"", ""insecticide"" ], [ ""防腐剤（ぼうふざい）"", ""antiseptic, preservative [n.]"" ], [ ""防災訓練（ぼうさいくんれん）"", ""disaster prevention drill"" ], [ ""堤防（ていぼう）"", ""bank, levee, dike"" ], [ ""消防車（しょうぼうしゃ）"", ""fire-engine"" ], [ ""無防備な（むぼうびな）"", ""defenseless"" ], [ ""防止する（ぼうしする）"", ""prevent"" ], [ ""防衛する（ぼうえいする）"", ""defend, protect"" ], [ ""予防する（よぼうする）"", ""prevent by taking precautions"" ], [ ""防ぐ（ふせぐ）"", ""defend, protect, prevent"" ] ]";203;4980;⻖;74;こざとへん;kozatohen;hill, mound;3;へん;hen
貿;bou(ekifuu);trade, exchange;12;ボウ;bou;;n/a;5;"[ [ ""貿易（ぼうえき）"", ""trade"" ], [ ""貿易業（ぼうえきぎょう）"", ""trading business"" ], [ ""貿易風（ぼうえきふう）"", ""trade wind"" ] ]";1665;4499;⾙;187;かい;kai;shell, property, wealth;7;;
務;(nin)mu;duty, work, serve;11;ム;mu;つと、つとめる、つとまる;tsuto, tsutomeru, tsutomaru;5;"[ [ ""義務（ぎむ）"", ""duty, obligation"" ], [ ""事務（じむ）"", ""business, office work"" ], [ ""任務（にんむ）"", ""duty, mission, task"" ], [ ""職務（しょくむ）"", ""professional duties"" ], [ ""責務（せきむ）"", ""duty, obligation, responsibility"" ], [ ""専務（せんむ）"", ""managing director"" ], [ ""外務省（がいむしょう）"", ""Department of Foreign Affairs"" ], [ ""法務省（ほうむしょう）"", ""Ministry of Justice"" ], [ ""公務員（こうむいん）"", ""civil servant"" ], [ ""勤務する（きんむする）"", ""work for"" ], [ ""務める（つとめる）"", ""serve, exert oneself [v.t.]"" ], [ ""務まる（つとまる）"", ""be fit for, function properly [v.i.]"" ] ]";797;3167;⼒;24;ちから;chikara;power;2;;
綿;men-wata;cotton;14;メン;men;わた;wata;5;"[ [ ""綿花（めんか）"", ""raw cotton, cotton wool"" ], [ ""綿糸（めんし）"", ""cotton yarn"" ], [ ""綿棒（めんぼう）"", ""cotton swab"" ], [ ""綿織物（めんおりもの）"", ""cotton fabrics, cotton textiles"" ], [ ""木綿（もめん）"", ""cotton"" ], [ ""綿密な（めんみつな）"", ""detailed, careful, thorough"" ], [ ""綿（わた）"", ""raw cotton"" ], [ ""綿菓子（わたがし）"", ""cotton candy"" ] ]";929;3566;;158;いとへん;itohen;thread;6;へん;hen
余;yo(keina);remaining, excess;7;ヨ;yo;あま、あまり、あまる、あます;ama, amari, amaru, amasu;5;"[ [ ""余地（よち）"", ""space, room, margin"" ], [ ""余暇（よか）"", ""leisure, leisure time, spare time"" ], [ ""余波（よは）"", ""secondary effect, aftermath"" ], [ ""余韻（よいん）"", ""reverberation, lingering memory"" ], [ ""余剰（よじょう）"", ""surplus, residue"" ], [ ""余談（よだん）"", ""digression, sequel"" ], [ ""余命（よめい）"", ""one's remaining years"" ], [ ""余程（よほど）"", ""very, to a large extent, greatly"" ], [ ""余計な（よけいな）"", ""extra, excessive"" ], [ ""余分な（よぶんな）"", ""extra, excessive"" ], [ ""余す（あます）"", ""save, leave over"" ], [ ""余る（あまる）"", ""remain, be left over [v.i.]"" ] ]";1289;408;𠆢;12;ひとやね;hitoyane;person ;2;かんむり;kanmuri
略;(sen)ryaku;abridged, strategy, omit, abbreviate;11;リャク;ryaku;;n/a;5;"[ [ ""略（りゃく）"", ""abbreviation, omission"" ], [ ""略語（りゃくご）"", ""abbreviation, acronym"" ], [ ""略字（りゃくじ）"", ""abbreviation, simplified character"" ], [ ""略歴（りゃくれき）"", ""brief personal record, short CV"" ], [ ""戦略（せんりゃく）"", ""strategy, tactics"" ], [ ""策略（さくりゃく）"", ""scheme, tactic, stratagem, trick"" ], [ ""略す（りゃくす）"", ""abbreviate"" ], [ ""略奪する（りゃくだつする）"", ""loot, rob"" ], [ ""攻略する（こうりゃくする）"", ""capture [v.t.]"" ], [ ""侵略する（しんりゃくする）"", ""invade"" ], [ ""省略する（しょうりゃくする）"", ""omit, abbreviate, abridge"" ] ]";793;3007;;129;たへん;tahen;rice paddy;5;へん;hen
十;10;ten;2;ジュウ;juu;とお、と;too, to;1;"[ [ ""十（じゅう）"", ""10"" ], [ ""十年（じゅうねん）"", ""10 years"" ], [ ""十分な（じゅうぶんな）"", ""enough"" ], [ ""十か月（じゅっかげつ）"", ""10 months"" ], [ ""十冊（じゅっさつ）"", ""10 (bound objects)"" ], [ ""十匹（じゅっぴき）"", ""10 (animals)"" ], [ ""十分（じゅっぷん）"", ""10 minutes"" ], [ ""十本（じゅっぽん）"", ""10 (long cylindrical objects)"" ], [ ""十日（とおか）"", ""10 days, 10th of the month"" ], [ ""十人十色（じゅうにんといろ）"", ""several men, several minds"" ], [ ""*二十才（はたち）"", ""20 years old"" ], [ ""*二十日（はつか）"", ""20 days, 20th day of the month"" ] ]";2110;768;⼗;28;じゅう;juu;ten;2;;
領;(daitou)ryou;territory, govern, rule;14;リョウ;ryou;;n/a;5;"[ [ ""領土（りょうど）"", ""dominion, territory"" ], [ ""領内（りょうない）"", ""territory, domains"" ], [ ""領空（りょうくう）"", ""territorial airspace"" ], [ ""領地（りょうち）"", ""territory, dominion"" ], [ ""領域（りょういき）"", ""area, domain, territory, field"" ], [ ""領事館（りょうじかん）"", ""consulate"" ], [ ""領収書（りょうしゅうしょ）"", ""receipt"" ], [ ""本領（ほんりょう）"", ""characteristic, speciality"" ], [ ""要領（ようりょう）"", ""gist, point, knack"" ], [ ""大統領（だいとうりょう）"", ""president (of a nation)"" ], [ ""占領する（せんりょうする）"", ""occupy, capture, possess"" ], [ ""横領する（おうりょうする）"", ""embezzle"" ] ]";828;5124;⾴;217;おおがい;oogai;head, page;9;つくり;tsukuri
域;(chi)iki;bounded area, region;11;イキ;iki;;n/a;6;"[ [ ""地域（ちいき）"", ""area, region"" ], [ ""水域（すいいき）"", ""waters, water area"" ], [ ""区域（くいき）"", ""boundary, zone, territory"" ], [ ""海域（かいいき）"", ""area of ocean"" ], [ ""全域（ぜんいき）"", ""the whole area"" ], [ ""聖域（せいいき）"", ""sacred precincts"" ], [ ""領域（りょういき）"", ""area, domain, territory, field"" ] ]";341;1085;;38;つちへん;tsuchihen;earth;3;へん;hen
宇;u(jicha);universe;6;ウ;u;;n/a;6;"[ [ ""宇宙（うちゅう）"", ""universe, cosmos, space"" ], [ ""宇内（うだい）"", ""the whole world"" ] ]";1377;1280;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
沿;en-so(u);along;8;エン;en;そ、そう;so, sou;6;"[ [ ""沿道（えんどう）"", ""route, course, roadside"" ], [ ""沿岸（えんがん）"", ""coast, shore"" ], [ ""沿線（えんせん）"", ""along a railroad line"" ], [ ""沿革（えんかく）"", ""history, development"" ], [ ""沿う（そう）"", ""accompany, comply with"" ], [ ""川沿い（かわぞい）"", ""along a river"" ], [ ""山沿い（やまぞい）"", ""along a mountain"" ] ]";243;2525;⺡;76;さんずい;sanzui;water;3;へん;hen
灰;kai-hai;ash;6;カイ;kai;はい;hai;6;"[ [ ""灰白色（かいはくしょく）"", ""grayish white"" ], [ ""石灰（せっかい）"", ""lime, quicklime, caustic lime"" ], [ ""灰（はい）"", ""ash"" ], [ ""灰皿（はいざら）"", ""ashtray"" ], [ ""灰色（はいいろ）"", ""grey, ashen"" ], [ ""火山灰（かざんばい）"", ""volcanic ash"" ] ]";1892;820;⼚;31;がんだれ;gandare;cliff;2;たれ;tare
閣;kaku(ryou);tower, tall magnificent building, cabinet;14;カク;kaku;;n/a;6;"[ [ ""閣僚（かくりょう）"", ""cabinet ministers"" ], [ ""閣議（かくぎ）"", ""cabinet meeting"" ], [ ""閣下（かっか）"", ""Your excellency"" ], [ ""内閣（ないかく）"", ""cabinet, ministry"" ], [ ""楼閣（ろうかく）"", ""multistoried building"" ], [ ""仏閣（ぶっかく）"", ""Buddhist temple"" ], [ ""金閣寺（きんかくじ）"", ""Kinkakuji Temple"" ], [ ""銀閣寺（ぎんかくじ）"", ""Ginkakuji Temple"" ], [ ""天守閣（てんしゅかく）"", ""castle tower"" ], [ ""組閣する（そかくする）"", ""form a cabinet"" ] ]";2098;4957;⾨;208;もんがまえ;mongamae;gate, door;8;かまえ, もんがまえ;kamae, mongamae
